"customer","RECENCY","frequency","monetary","R_SCORE","F_SCORE","M_SCORE","SEGMENT"
"null","null","1","0","5","1","1","OTHER CUSTOMER"
"12346","287","2","0","1","2","1","OTHER CUSTOMER"
"12347","-36","7","4310","5","5","5","GOOD CUSTOMER"
"12348","37","4","1797.24","2","4","4","OTHER CUSTOMER"
"12349","-20","1","1757.55","4","2","4","OTHER CUSTOMER"
"12350","272","1","334.4","1","2","2","OTHER CUSTOMER"
"12352","-2","11","1545.41","3","5","4","OTHER CUSTOMER"
"12353","166","1","89","1","1","1","OTHER CUSTOMER"
"12354","194","1","1079.4","1","2","4","OTHER CUSTOMER"
"12355","176","1","459.4","1","2","2","OTHER CUSTOMER"
"12356","-16","3","2811.43","4","3","5","OTHER CUSTOMER"
"12357","-5","1","6207.67","3","2","5","OTHER CUSTOMER"
"12358","-37","2","1168.06","5","3","4","OTHER CUSTOMER"
"12359","-31","6","6182.98","5","4","5","GOOD CUSTOMER"
"12360","14","3","2662.06","3","3","5","OTHER CUSTOMER"
"12361","249","1","189.9","1","1","1","OTHER CUSTOMER"
"12362","-35","13","5154.58","5","5","5","GOOD CUSTOMER"
"12363","71","2","552","2","3","3","AVERAGE CUSTOMER"
"12364","-31","4","1313.1","5","4","4","GOOD CUSTOMER"
"12365","253","3","320.69","1","3","2","OTHER CUSTOMER"
"12367","-34","1","168.9","5","1","1","OTHER CUSTOMER"
"12370","13","4","3541.94","3","4","5","OTHER CUSTOMER"
"12371","6","2","1887.96","3","3","4","OTHER CUSTOMER"
"12372","33","3","1298.04","2","3","4","OTHER CUSTOMER"
"12373","273","1","364.6","1","2","2","OTHER CUSTOMER"
"12374","-13","1","742.93","4","2","3","OTHER CUSTOMER"
"12375","-36","3","455.42","5","3","2","OTHER CUSTOMER"
"12377","277","2","1628.1200000000001","1","3","4","OTHER CUSTOMER"
"12378","91","1","4008.62","2","2","5","OTHER CUSTOMER"
"12379","43","3","850.29","2","3","3","AVERAGE CUSTOMER"
"12380","-17","5","2720.56","4","4","5","GOOD CUSTOMER"
"12381","-34","6","1803.96","5","4","4","GOOD CUSTOMER"
"12383","146","6","1839.31","1","4","4","OTHER CUSTOMER"
"12384","-10","3","566.16","4","3","3","OTHER CUSTOMER"
"12386","299","2","401.90000000000003","1","2","2","OTHER CUSTOMER"
"12388","-23","6","2780.66","4","4","5","GOOD CUSTOMER"
"12390","41","1","549.84","2","2","3","AVERAGE CUSTOMER"
"12391","-17","1","439.66","4","2","2","OTHER CUSTOMER"
"12393","34","4","1582.6","2","4","4","OTHER CUSTOMER"
"12394","25","2","1272.48","3","3","4","OTHER CUSTOMER"
"12395","-23","15","2998.28","4","5","5","GOOD CUSTOMER"
"12397","-3","2","2409.9","3","3","5","OTHER CUSTOMER"
"12398","7","1","1635.66","3","2","4","OTHER CUSTOMER"
"12399","81","4","1108.65","2","4","4","OTHER CUSTOMER"
"12401","265","1","84.3","1","1","1","OTHER CUSTOMER"
"12402","285","1","225.6","1","1","1","OTHER CUSTOMER"
"12403","11","2","409.7","3","2","2","AVERAGE CUSTOMER"
"12405","110","1","1710.3899999999999","2","2","4","OTHER CUSTOMER"
"12406","-16","3","3280.75","4","3","5","OTHER CUSTOMER"
"12407","11","5","1708.12","3","4","4","OTHER CUSTOMER"
"12408","-6","9","2842.57","3","5","5","OTHER CUSTOMER"
"12409","40","7","11056.93","2","5","5","OTHER CUSTOMER"
"12410","263","3","681.08","1","3","3","OTHER CUSTOMER"
"12412","36","3","1226.8799999999999","2","3","4","OTHER CUSTOMER"
"12413","28","5","694.15","3","4","3","OTHER CUSTOMER"
"12414","179","3","562.41","1","3","3","OTHER CUSTOMER"
"12415","-14","26","123725.45","4","5","5","GOOD CUSTOMER"
"12417","-35","12","3578.8","5","5","5","GOOD CUSTOMER"
"12418","74","1","668.58","2","2","3","AVERAGE CUSTOMER"
"12420","25","1","600.39","3","2","3","AVERAGE CUSTOMER"
"12421","-23","5","806.27","4","4","3","OTHER CUSTOMER"
"12422","57","3","803.56","2","3","3","AVERAGE CUSTOMER"
"12423","-38","9","1849.11","5","5","4","GOOD CUSTOMER"
"12424","124","2","1760.96","2","3","4","OTHER CUSTOMER"
"12425","40","1","777.2","2","2","3","AVERAGE CUSTOMER"
"12426","156","1","582.73","1","2","3","OTHER CUSTOMER"
"12427","-27","5","708.37","5","4","3","OTHER CUSTOMER"
"12428","-13","12","7877.2","4","5","5","GOOD CUSTOMER"
"12429","-29","4","3750.4","5","4","5","GOOD CUSTOMER"
"12430","5","1","256.4","3","1","2","OTHER CUSTOMER"
"12431","-3","18","6348.89","3","5","5","OTHER CUSTOMER"
"12432","4","5","5059.32","3","4","5","OTHER CUSTOMER"
"12433","-38","7","13375.87","5","5","5","GOOD CUSTOMER"
"12434","46","4","765.19","2","4","3","OTHER CUSTOMER"
"12435","41","2","7829.889999999999","2","3","5","OTHER CUSTOMER"
"12436","61","1","509.01","2","2","3","AVERAGE CUSTOMER"
"12437","-37","19","4896.66","5","5","5","GOOD CUSTOMER"
"12438","-24","2","2906.85","4","3","5","OTHER CUSTOMER"
"12441","328","1","173.55","1","1","1","OTHER CUSTOMER"
"12442","-35","1","172.06","5","1","1","OTHER CUSTOMER"
"12444","-17","5","5005.46","4","4","5","GOOD CUSTOMER"
"12445","-16","1","133.4","4","1","1","OTHER CUSTOMER"
"12446","19","1","1002.31","3","2","4","OTHER CUSTOMER"
"12447","205","1","476.49","1","2","3","OTHER CUSTOMER"
"12448","6","1","449.45","3","2","2","AVERAGE CUSTOMER"
"12449","-16","4","4067.29","4","4","5","GOOD CUSTOMER"
"12450","118","2","197.88","2","2","1","OTHER CUSTOMER"
"12451","-28","6","8933.52","5","4","5","GOOD CUSTOMER"
"12452","-22","3","428.57","4","3","2","OTHER CUSTOMER"
"12453","96","1","707.09","2","2","3","AVERAGE CUSTOMER"
"12454","15","2","0","3","2","1","OTHER CUSTOMER"
"12455","35","6","2466.86","2","4","5","OTHER CUSTOMER"
"12456","6","4","3153.89","3","4","5","OTHER CUSTOMER"
"12457","20","12","1917.78","3","5","4","OTHER CUSTOMER"
"12458","33","2","947.4","2","3","4","OTHER CUSTOMER"
"12461","56","2","826.88","2","3","3","AVERAGE CUSTOMER"
"12462","-36","4","1124.01","5","4","4","GOOD CUSTOMER"
"12463","8","7","1303.6299999999999","3","5","4","OTHER CUSTOMER"
"12464","-28","8","1212.05","5","5","4","GOOD CUSTOMER"
"12465","-31","3","733.89","5","3","3","OTHER CUSTOMER"
"12468","105","3","724.04","2","3","3","AVERAGE CUSTOMER"
"12471","-36","49","18705.52","5","5","5","GOOD CUSTOMER"
"12472","-8","13","6229.48","4","5","5","GOOD CUSTOMER"
"12473","-9","9","2837.73","4","5","5","GOOD CUSTOMER"
"12474","-21","30","7064.7699999999995","4","5","5","GOOD CUSTOMER"
"12475","15","1","723.38","3","2","3","AVERAGE CUSTOMER"
"12476","-37","20","6546.58","5","5","5","GOOD CUSTOMER"
"12477","-16","9","13117.01","4","5","5","GOOD CUSTOMER"
"12478","-35","1","680.99","5","2","3","OTHER CUSTOMER"
"12479","-35","3","477.3","5","3","3","OTHER CUSTOMER"
"12480","-10","4","3281.63","4","4","5","GOOD CUSTOMER"
"12481","-16","11","5574.36","4","5","5","GOOD CUSTOMER"
"12483","-21","13","2327.13","4","5","5","GOOD CUSTOMER"
"12484","-6","8","4480.87","3","5","5","OTHER CUSTOMER"
"12488","-29","3","1298.66","5","3","4","OTHER CUSTOMER"
"12489","298","1","334.93","1","2","2","OTHER CUSTOMER"
"12490","-33","10","5417.93","5","5","5","GOOD CUSTOMER"
"12491","0","1","460.4","3","2","2","AVERAGE CUSTOMER"
"12492","25","2","263.21","3","2","2","AVERAGE CUSTOMER"
"12493","127","3","416.79","2","3","2","AVERAGE CUSTOMER"
"12494","-29","13","1139.35","5","5","4","GOOD CUSTOMER"
"12497","43","1","1043.1","2","2","4","OTHER CUSTOMER"
"12498","-17","3","403.7","4","3","2","OTHER CUSTOMER"
"12500","-15","13","4206.2699999999995","4","5","5","GOOD CUSTOMER"
"12501","277","2","2089.68","1","3","5","OTHER CUSTOMER"
"12502","57","5","3723.87","2","4","5","OTHER CUSTOMER"
"12503","299","1","-1126","1","1","1","OTHER CUSTOMER"
"12504","-20","4","114","4","3","1","OTHER CUSTOMER"
"12505","263","1","-4.5","1","1","1","OTHER CUSTOMER"
"12506","194","1","73.5","1","1","1","OTHER CUSTOMER"
"12507","96","4","1258.06","2","4","4","OTHER CUSTOMER"
"12508","-12","2","397.88","4","2","2","OTHER CUSTOMER"
"12509","246","1","176.5","1","1","1","OTHER CUSTOMER"
"12510","104","2","982.57","2","3","4","OTHER CUSTOMER"
"12512","28","2","132.18","3","2","1","OTHER CUSTOMER"
"12513","46","2","586.79","2","3","3","AVERAGE CUSTOMER"
"12514","229","1","1017.68","1","2","4","OTHER CUSTOMER"
