"customerid","totalrevenue","totalorders","lastpurchasedate"
"null","null","1",""
"12346","0","2","18-01-2011"
"12347","4310","7","31-10-2011"
"12348","1797.24","4","25-09-2011"
"12349","1757.55","1","21-11-2011"
"12350","334.4","1","02-02-2011"
"12352","1545.41","11","28-09-2011"
"12353","89","1","19-05-2011"
"12354","1079.4","1","21-04-2011"
"12355","459.4","1","09-05-2011"
"12356","2811.43","3","18-01-2011"
"12357","6207.67","1","06-11-2011"
"12358","1168.0600000000002","2","12-07-2011"
"12359","6182.9800000000005","6","13-10-2011"
"12360","2662.06","3","23-05-2011"
"12361","189.9","1","25-02-2011"
"12362","5154.58","13","28-11-2011"
"12363","552","2","22-08-2011"
"12364","1313.1","4","30-10-2011"
"12365","320.69","3","21-02-2011"
"12367","168.9","1","05-12-2011"
"12370","3541.94","4","19-10-2011"
"12371","1887.96","2","26-10-2011"
"12372","1298.04","3","29-09-2011"
"12373","364.6","1","01-02-2011"
"12374","742.9300000000001","1","14-11-2011"
"12375","455.42","3","29-11-2011"
"12377","1628.12","2","28-01-2011"
"12378","4008.62","1","02-08-2011"
"12379","850.29","3","22-06-2011"
"12380","2720.56","5","24-10-2011"
"12381","1803.96","6","31-08-2011"
"12383","1839.31","6","22-12-2010"
"12384","566.16","3","21-09-2011"
"12386","401.9","2","08-12-2010"
"12388","2780.6600000000003","6","25-09-2011"
"12390","549.84","1","21-09-2011"
"12391","439.66","1","18-11-2011"
"12393","1582.6000000000001","4","28-09-2011"
"12394","1272.48","2","07-10-2011"
"12395","2998.28","15","30-06-2011"
"12397","2409.9","2","27-07-2011"
"12398","1635.66","1","25-10-2011"
"12399","1108.65","4","23-03-2011"
"12401","84.3","1","09-02-2011"
"12402","225.6","1","20-01-2011"
"12403","409.7","2","21-10-2011"
"12405","1710.39","1","14-07-2011"
"12406","3280.75","3","17-11-2011"
"12407","1708.12","5","28-07-2011"
"12408","2842.57","9","29-06-2011"
"12409","11056.93","7","22-09-2011"
"12410","681.08","3","11-02-2011"
"12412","1226.88","3","26-09-2011"
"12413","694.15","5","17-04-2011"
"12414","562.41","3","26-04-2011"
"12415","123725.45","26","28-04-2011"
"12417","3578.8","12","31-10-2011"
"12418","668.58","1","19-08-2011"
"12420","600.39","1","07-10-2011"
"12421","806.27","5","24-11-2011"
"12422","803.5600000000001","3","24-06-2011"
"12423","1849.11","9","31-08-2011"
"12424","1760.96","2","30-06-2011"
"12425","777.2","1","22-09-2011"
"12426","582.73","1","29-05-2011"
"12427","708.37","5","28-11-2011"
"12428","7877.2","12","30-03-2011"
"12429","3750.4","4","30-11-2011"
"12430","256.4","1","27-10-2011"
"12431","6348.89","18","31-05-2011"
"12432","5059.32","5","28-10-2011"
"12433","13375.87","7","30-11-2011"
"12434","765.19","4","24-03-2011"
"12435","7829.89","2","21-09-2011"
"12436","509.01000000000005","1","01-09-2011"
"12437","4896.66","19","31-01-2011"
"12438","2906.85","2","25-11-2011"
"12441","173.55","1","08-12-2010"
"12442","172.06","1","06-12-2011"
"12444","5005.46","5","21-06-2011"
"12445","133.4","1","17-11-2011"
"12446","1002.3100000000001","1","13-10-2011"
"12447","476.49","1","10-04-2011"
"12448","449.45","1","26-10-2011"
"12449","4067.29","4","17-11-2011"
"12450","197.88","2","19-06-2011"
"12451","8933.52","6","29-11-2011"
"12452","428.57","3","23-11-2011"
"12453","707.09","1","28-07-2011"
"12454","0","2","17-10-2011"
"12455","2466.86","6","27-09-2011"
"12456","3153.89","4","31-07-2011"
